Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
9/16/25,Running,"211" kcal, 1hr 12min,"1.71" mi,"42m 20s","130 bpm","0 m"
9/18/25,Running,"64" kcal, 17min,"0.54" mi,"32m 53s","120 bpm","0 m"
9/21/25,Running,"163" kcal, 21min,"1.55" mi,"14m 8s","132 bpm","3.03 m"
9/23/25,Running,"79" kcal, 10min,"0.72" mi,"14m 55s","116 bpm","0 m"
9/24/25,Running,"219" kcal, 29min,"1.83" mi,"15m 56s","116 bpm","0 m"
9/28/25,Running,"190" kcal, 33min,"1.63" mi,"20m 36s","115 bpm","0 m"
9/29/25,Running,"192" kcal, 26min,"1.44" mi,"18m 43s","117 bpm","0 m"
9/30/25,Running,"46" kcal, 16min,"0.16" mi,"102m 19s","119 bpm","0 m"
10/1/25,Running,"243" kcal, 30min,"2.01" mi,"15m 14s","113 bpm","0 m"
10/2/25,Running,"56" kcal, 14min,"0.45" mi,"32m 3s","125 bpm","0 m"
10/3/25,Running,"253" kcal, 31min,"2.04" mi,"15m 17s","118 bpm","0 m"
10/6/25,Running,"201" kcal, 23min,"1.65" mi,"14m 23s","127 bpm","0 m"
10/7/25,Running,"97" kcal, 23min,"0.69" mi,"33m 40s","122 bpm","0 m"
10/8/25,Running,"175" kcal, 19min,"1.37" mi,"13m 59s","134 bpm","0 m"
10/12/25,Running,"273" kcal, 29min,"2.2" mi,"13m 26s","135 bpm","0 m"
10/14/25,Running,"93" kcal, 20min,"0.7" mi,"29m 31s","121 bpm","0 m"
10/15/25,Running,"306" kcal, 33min,"2.55" mi,"13m 3s","128 bpm","0 m"
10/16/25,Running,"15" kcal, 7min,"0.12" mi,"56m 51s","125 bpm","0 m"
10/17/25,Running,"297" kcal, 32min,"2.52" mi,"12m 56s","130 bpm","0 m"
10/20/25,Running,"278" kcal, 33min,"2.27" mi,"14m 34s","132 bpm","0 m"
10/22/25,Running,"299" kcal, 33min,"2.64" mi,"12m 32s","134 bpm","0 m"
10/23/25,Running,"22" kcal, 4min,"0.36" mi,"13m","151 bpm","0 m"
10/24/25,Running,"324" kcal, 34min,"2.85" mi,"11m 59s","140 bpm","0 m"
10/27/25,Running,"336" kcal, 44min,"2.88" mi,"15m 32s","112 bpm","0 m"
10/31/25,Running,"344" kcal, 43min,"2.95" mi,"14m 41s","120 bpm","0 m"
11/2/25,Running,"361" kcal, 40min,"3.04" mi,"13m 18s","127 bpm","0 m"
11/4/25,Running,"363" kcal, 38min,"3.21" mi,"11m 51s","134 bpm","0 m"
11/4/25,Running,"38" kcal, 3min,"0.35" mi,"9m 41s","119 bpm","0 m"
11/5/25,Running,"371" kcal, 39min,"3.24" mi,"12m 5s","134 bpm","0 m"
11/6/25,Running,"21" kcal, 8min,"0.19" mi,"46m 36s","93 bpm","0 m"
11/7/25,Running,"423" kcal, 44min,"3.72" mi,"11m 59s","141 bpm","0 m"
11/9/25,Running,"336" kcal, 38min,"3.09" mi,"12m 23s","153 bpm","16.7 m"
11/11/25,Running,"376" kcal, 43min,"3.42" mi,"12m 47s","128 bpm","0 m"
11/11/25,Running,"51" kcal, 6min,"0.48" mi,"13m 2s","142 bpm","0 m"
11/12/25,Running,"69" kcal, 17min,"0.7" mi,"25m 22s","100 bpm","0 m"
