 Date , Active Energy , Resting Energy , Resting , HRV , Steps , VO₂ max , Exercise Minutes , Stand Hours 
4/4/2026,729 Cal,1759 Cal,60 bpm,28,4280,,69,14
4/3/2026,1004 Cal,1854 Cal,63 bpm,33,17369,40.7,124,16
4/2/2026,904 Cal,1819 Cal,63 bpm,33,9848,,123,14
4/1/2026,347 Cal,1696 Cal,58 bpm,28,7710,,26,11
3/31/2026,1042 Cal,1418 Cal,63 bpm,22,10659,,163,15
3/30/2026,1001 Cal,1693 Cal,63 bpm,22,13307,40.4,131,16
3/29/2026,749 Cal,1198 Cal,60 bpm,22,14074,40.2,67,13
3/28/2026,512 Cal,1626 Cal,59 bpm,25,3373,,74,9
3/27/2026,477 Cal,1753 Cal,61 bpm,33,9782,,32,15
3/26/2026,488 Cal,1764 Cal,60 bpm,26,8207,,28,15
3/25/2026,802 Cal,1779 Cal,66 bpm,37,18560,40.7,80,13
3/24/2026,1272 Cal,1752 Cal,66 bpm,23,10752,,189,13
3/23/2026,882 Cal,1812 Cal,63 bpm,17,9824,,110,17
3/22/2026,715 Cal,1332 Cal,56 bpm,29,13353,40.7,57,13
3/21/2026,295 Cal,1594 Cal,57 bpm,39,5175,,8,12
3/20/2026,341 Cal,1713 Cal,63 bpm,34,6039,,15,12
3/19/2026,1088 Cal,1378 Cal,63 bpm,28,10905,,155,12
3/18/2026,839 Cal,1670 Cal,66 bpm,20,17891,41.6,92,16
3/17/2026,1190 Cal,1785 Cal,67 bpm,30,10153,,157,14
3/16/2026,949 Cal,1818 Cal,61 bpm,30,10904,40.5,130,18
3/15/2026,261 Cal,1666 Cal,63 bpm,30,5159,40.0,4,8
3/14/2026,675 Cal,1702 Cal,64 bpm,23,13202,40.3,73,12
3/13/2026,690 Cal,1784 Cal,60 bpm,31,6997,,97,12
3/12/2026,742 Cal,1751 Cal,59 bpm,29,12290,40.0,96,13
3/11/2026,737 Cal,1760 Cal,60 bpm,27,7930,,86,14
3/10/2026,338 Cal,1686 Cal,60 bpm,25,5461,39.4,41,12
3/9/2026,240 Cal,1665 Cal,60 bpm,27,3418,,10,10
3/8/2026,312 Cal,1606 Cal,56 bpm,36,4975,,31,10
3/7/2026,556 Cal,1699 Cal,57 bpm,33,11510,39.6,47,14
3/6/2026,465 Cal,1766 Cal,60 bpm,32,7757,,31,14
3/5/2026,707 Cal,1730 Cal,59 bpm,24,9124,,108,11
3/4/2026,982 Cal,1805 Cal,63 bpm,26,15254,40.0,114,17
3/3/2026,1129 Cal,1815 Cal,64 bpm,24,12215,39.8,181,17
3/2/2026,862 Cal,1814 Cal,63 bpm,29,9790,39.6,87,16
3/1/2026,496 Cal,1745 Cal,59 bpm,29,4787,,44,12
2/28/2026,719 Cal,1775 Cal,59 bpm,23,6402,,51,13
2/27/2026,528 Cal,1724 Cal,61 bpm,58,9115,40.1,33,12
2/26/2026,1051 Cal,1782 Cal,64 bpm,32,16239,40.2,158,15
2/25/2026,496 Cal,1781 Cal,63 bpm,38,9482,,26,15
2/24/2026,1172 Cal,1706 Cal,68 bpm,25,9450,,183,10
