"workoutActivityType","duration","durationUnit","sourceName","sourceVersion","creationDate","startDate","endDate"
"HKWorkoutActivityTypeWalking","25.23856154878934","min","Andres’s Apple Watch","7.6","2021-07-23 18:41:44 -0600","2021-07-23 18:16:29 -0600","2021-07-23 18:41:43 -0600"
"HKWorkoutActivityTypeWalking","11.22613891561826","min","Andres’s Apple Watch","7.6","2021-07-23 18:53:23 -0600","2021-07-23 18:42:08 -0600","2021-07-23 18:53:22 -0600"
"HKWorkoutActivityTypeWalking","8.524196716149648","min","Andres’s Apple Watch","7.6.1","2021-08-06 19:42:11 -0600","2021-08-06 19:33:39 -0600","2021-08-06 19:42:11 -0600"
"HKWorkoutActivityTypeWalking","18.55032054781914","min","Andres’s Apple Watch","7.6.1","2021-09-02 18:44:12 -0600","2021-09-02 18:23:12 -0600","2021-09-02 18:44:11 -0600"
"HKWorkoutActivityTypeWalking","10.65962581833204","min","Andres’s Apple Watch","7.6.1","2021-09-02 18:54:55 -0600","2021-09-02 18:44:11 -0600","2021-09-02 18:54:54 -0600"
"HKWorkoutActivityTypeElliptical","3.318930053710937","min","Andres’s Apple Watch","7.6.2","2021-11-10 08:05:27 -0600","2021-11-10 00:34:16 -0600","2021-11-10 08:05:26 -0600"
"HKWorkoutActivityTypeWalking","35.46927399436633","min","Andres’s Apple Watch","8.4.2","2022-03-02 12:36:38 -0600","2022-03-02 12:01:09 -0600","2022-03-02 12:36:38 -0600"
"HKWorkoutActivityTypeRunning","18.34596369862556","min","Andres’s Apple Watch","8.6","2022-06-03 07:53:40 -0600","2022-06-02 18:19:57 -0600","2022-06-03 07:53:39 -0600"
"HKWorkoutActivityTypeCycling","8.027868457635243","min","Andres’s Apple Watch","8.6","2022-06-28 13:07:07 -0600","2022-06-28 12:59:04 -0600","2022-06-28 13:07:06 -0600"
"HKWorkoutActivityTypeCycling","10.93829260071119","min","Andres’s Apple Watch","8.7","2022-08-19 18:37:58 -0600","2022-08-19 18:27:01 -0600","2022-08-19 18:37:57 -0600"
"HKWorkoutActivityTypeWalking","33.7211492796739","min","Andres’s Apple Watch","8.7","2022-08-22 08:08:00 -0600","2022-08-22 07:34:15 -0600","2022-08-22 08:07:58 -0600"
"HKWorkoutActivityTypeCycling","4.480466099580129","min","Andres’s Apple Watch","8.7","2022-08-24 07:59:38 -0600","2022-08-24 07:55:08 -0600","2022-08-24 07:59:37 -0600"
"HKWorkoutActivityTypeCycling","13.84534622033437","min","Andres’s Apple Watch","8.7","2022-08-26 07:55:59 -0600","2022-08-26 07:42:08 -0600","2022-08-26 07:55:58 -0600"
"HKWorkoutActivityTypeCycling","3.291823307673136","min","Andres’s Apple Watch","8.7","2022-08-29 08:01:01 -0600","2022-08-29 07:57:43 -0600","2022-08-29 08:01:00 -0600"
"HKWorkoutActivityTypeRunning","3.161398698886236","min","Andres’s Apple Watch","8.7","2022-09-04 09:34:55 -0600","2022-09-04 09:31:45 -0600","2022-09-04 09:34:55 -0600"
"HKWorkoutActivityTypeCycling","12.61305965383847","min","Andres’s Apple Watch","8.7","2022-09-09 07:56:22 -0600","2022-09-09 07:43:45 -0600","2022-09-09 07:56:22 -0600"
