Time,Timestamp,ISO8601,Heart Rate (bpm),Lap,Since start (second)
06:08:13.548,1775214493.548,2026-04-03T06:08:13.548-0500,,,
06:08:13.548,1775214493.548,2026-04-03T06:08:13.548-0500,102,1,0
06:08:14.548,1775214494.548,2026-04-03T06:08:14.548-0500,102,1,1
06:08:15.548,1775214495.548,2026-04-03T06:08:15.548-0500,102,1,2
06:08:16.548,1775214496.548,2026-04-03T06:08:16.548-0500,102,1,3
06:08:17.548,1775214497.548,2026-04-03T06:08:17.548-0500,102,1,4
06:08:18.548,1775214498.548,2026-04-03T06:08:18.548-0500,102,1,5
06:08:19.548,1775214499.548,2026-04-03T06:08:19.548-0500,102,1,6
06:08:20.548,1775214500.548,2026-04-03T06:08:20.548-0500,102,1,7
06:08:21.548,1775214501.548,2026-04-03T06:08:21.548-0500,102,1,8
06:08:22.548,1775214502.548,2026-04-03T06:08:22.548-0500,102,1,9
06:08:23.548,1775214503.548,2026-04-03T06:08:23.548-0500,102,1,10
06:08:24.548,1775214504.548,2026-04-03T06:08:24.548-0500,102,1,11
06:08:25.548,1775214505.548,2026-04-03T06:08:25.548-0500,102,1,12
06:08:26.548,1775214506.548,2026-04-03T06:08:26.548-0500,102,1,13
06:08:27.548,1775214507.548,2026-04-03T06:08:27.548-0500,102,1,14
06:08:28.548,1775214508.548,2026-04-03T06:08:28.548-0500,102,1,15
06:08:29.548,1775214509.548,2026-04-03T06:08:29.548-0500,102,1,16
06:08:30.548,1775214510.548,2026-04-03T06:08:30.548-0500,102,1,17
06:08:31.548,1775214511.548,2026-04-03T06:08:31.548-0500,102,1,18
06:08:32.548,1775214512.548,2026-04-03T06:08:32.548-0500,102,1,19
06:08:33.548,1775214513.548,2026-04-03T06:08:33.548-0500,102,1,20
06:08:34.548,1775214514.548,2026-04-03T06:08:34.548-0500,102,1,21
06:08:35.548,1775214515.548,2026-04-03T06:08:35.548-0500,102,1,22
06:08:36.548,1775214516.548,2026-04-03T06:08:36.548-0500,102,1,23
06:08:37.548,1775214517.548,2026-04-03T06:08:37.548-0500,102,1,24
06:08:38.548,1775214518.548,2026-04-03T06:08:38.548-0500,102,1,25
06:08:39.548,1775214519.548,2026-04-03T06:08:39.548-0500,101,1,26
06:08:40.548,1775214520.548,2026-04-03T06:08:40.548-0500,101,1,27
06:08:41.548,1775214521.548,2026-04-03T06:08:41.548-0500,100,1,28
06:08:42.548,1775214522.548,2026-04-03T06:08:42.548-0500,100,1,29
06:08:43.548,1775214523.548,2026-04-03T06:08:43.548-0500,99,1,30
06:08:44.548,1775214524.548,2026-04-03T06:08:44.548-0500,99,1,31
06:08:45.548,1775214525.548,2026-04-03T06:08:45.548-0500,99,1,32
06:08:46.548,1775214526.548,2026-04-03T06:08:46.548-0500,99,1,33
06:08:47.548,1775214527.548,2026-04-03T06:08:47.548-0500,100,1,34
06:08:48.548,1775214528.548,2026-04-03T06:08:48.548-0500,100,1,35
06:08:49.548,1775214529.548,2026-04-03T06:08:49.548-0500,100,1,36
06:08:50.548,1775214530.548,2026-04-03T06:08:50.548-0500,100,1,37
06:08:51.548,1775214531.548,2026-04-03T06:08:51.548-0500,100,1,38
06:08:52.548,1775214532.548,2026-04-03T06:08:52.548-0500,100,1,39
06:08:53.548,1775214533.548,2026-04-03T06:08:53.548-0500,100,1,40
06:08:54.548,1775214534.548,2026-04-03T06:08:54.548-0500,100,1,41
06:08:55.548,1775214535.548,2026-04-03T06:08:55.548-0500,100,1,42
06:08:56.548,1775214536.548,2026-04-03T06:08:56.548-0500,101,1,43
06:08:57.548,1775214537.548,2026-04-03T06:08:57.548-0500,101,1,44
06:08:58.548,1775214538.548,2026-04-03T06:08:58.548-0500,101,1,45
06:08:59.548,1775214539.548,2026-04-03T06:08:59.548-0500,100,1,46
06:09:00.548,1775214540.548,2026-04-03T06:09:00.548-0500,100,1,47
06:09:01.548,1775214541.548,2026-04-03T06:09:01.548-0500,99,1,48
06:09:02.548,1775214542.548,2026-04-03T06:09:02.548-0500,99,1,49
06:09:03.548,1775214543.548,2026-04-03T06:09:03.548-0500,98,1,50
06:09:04.548,1775214544.548,2026-04-03T06:09:04.548-0500,98,1,51
06:09:05.548,1775214545.548,2026-04-03T06:09:05.548-0500,97,1,52
06:09:06.548,1775214546.548,2026-04-03T06:09:06.548-0500,98,1,53
06:09:07.548,1775214547.548,2026-04-03T06:09:07.548-0500,98,1,54
06:09:08.548,1775214548.548,2026-04-03T06:09:08.548-0500,99,1,55
06:09:09.548,1775214549.548,2026-04-03T06:09:09.548-0500,99,1,56
06:09:10.548,1775214550.548,2026-04-03T06:09:10.548-0500,100,1,57
06:09:11.548,1775214551.548,2026-04-03T06:09:11.548-0500,100,1,58
06:09:12.548,1775214552.548,2026-04-03T06:09:12.548-0500,101,1,59
06:09:13.548,1775214553.548,2026-04-03T06:09:13.548-0500,102,1,60
06:09:14.548,1775214554.548,2026-04-03T06:09:14.548-0500,102,1,61
06:09:15.548,1775214555.548,2026-04-03T06:09:15.548-0500,103,1,62
06:09:16.548,1775214556.548,2026-04-03T06:09:16.548-0500,103,1,63
06:09:17.548,1775214557.548,2026-04-03T06:09:17.548-0500,104,1,64
06:09:18.548,1775214558.548,2026-04-03T06:09:18.548-0500,104,1,65
06:09:19.548,1775214559.548,2026-04-03T06:09:19.548-0500,104,1,66
06:09:20.548,1775214560.548,2026-04-03T06:09:20.548-0500,104,1,67
06:09:21.548,1775214561.548,2026-04-03T06:09:21.548-0500,105,1,68
06:09:22.548,1775214562.548,2026-04-03T06:09:22.548-0500,105,1,69
06:09:23.548,1775214563.548,2026-04-03T06:09:23.548-0500,106,1,70
06:09:24.548,1775214564.548,2026-04-03T06:09:24.548-0500,106,1,71
06:09:25.548,1775214565.548,2026-04-03T06:09:25.548-0500,106,1,72
06:09:26.548,1775214566.548,2026-04-03T06:09:26.548-0500,106,1,73
06:09:27.548,1775214567.548,2026-04-03T06:09:27.548-0500,106,1,74
06:09:28.548,1775214568.548,2026-04-03T06:09:28.548-0500,107,1,75
06:09:29.548,1775214569.548,2026-04-03T06:09:29.548-0500,107,1,76
06:09:30.548,1775214570.548,2026-04-03T06:09:30.548-0500,107,1,77
06:09:31.548,1775214571.548,2026-04-03T06:09:31.548-0500,107,1,78
06:09:32.548,1775214572.548,2026-04-03T06:09:32.548-0500,107,1,79
06:09:33.548,1775214573.548,2026-04-03T06:09:33.548-0500,106,1,80
06:09:34.548,1775214574.548,2026-04-03T06:09:34.548-0500,107,1,81
06:09:35.548,1775214575.548,2026-04-03T06:09:35.548-0500,107,1,82
06:09:36.548,1775214576.548,2026-04-03T06:09:36.548-0500,108,1,83
06:09:37.548,1775214577.548,2026-04-03T06:09:37.548-0500,108,1,84
06:09:38.548,1775214578.548,2026-04-03T06:09:38.548-0500,109,1,85
