date,active_kcal
2021-06-12,493
2021-06-13,510
2021-06-14,661
2021-06-15,778
2021-06-16,560
2021-06-17,654
2021-06-18,554
2021-06-19,465
2021-06-20,407
2021-06-21,694
2021-06-22,509
2021-06-23,454
2021-06-24,517
2021-06-25,672
2021-06-26,631
2021-06-27,370
2021-06-28,596
2021-06-29,526
2021-06-30,573
2021-07-01,622
2021-07-02,599
2021-07-03,680
2021-07-04,614
2021-07-05,660
2021-07-06,733
2021-07-07,645
2021-07-08,570
2021-07-09,536
2021-07-10,537
2021-07-11,540
2021-07-12,581
2021-07-13,683
2021-07-14,473
2021-07-15,415
2021-07-16,543
2021-07-17,594
2021-07-18,400
2021-07-19,697
2021-07-20,491
2021-07-21,508
2021-07-22,478
2021-07-23,599
2021-07-24,554
2021-07-25,486
2021-07-26,545
2021-07-27,580
2021-07-28,548
2021-07-29,625
2021-07-30,549
2021-07-31,391
2021-08-01,564
2021-08-02,620
2021-08-03,772
2021-08-04,707
2021-08-05,488
2021-08-06,469
2021-08-07,436
2021-08-08,489
2021-08-09,635
2021-08-10,701
2021-08-11,560
2021-08-12,601
2021-08-13,623
2021-08-14,659
2021-08-15,440
2021-08-16,694
2021-08-17,736
2021-08-18,720
2021-08-19,693
2021-08-20,544
2021-08-21,433
2021-08-22,319
2021-08-23,595
2021-08-24,843
2021-08-25,650
2021-08-26,742
2021-08-27,572
2021-08-28,617
2021-08-29,571
2021-08-30,631
2021-08-31,728
2021-09-01,625
2021-09-02,716
2021-09-03,599
2021-09-04,420
2021-09-05,523
2021-09-06,634
2021-09-07,710
2021-09-08,631
2021-09-09,693
2021-09-10,729
2021-09-11,738
2021-09-12,631
2021-09-13,563
2021-09-14,694
2021-09-15,659
2021-09-16,606
2021-09-17,680
2021-09-18,486
2021-09-19,578
2021-09-20,675
2021-09-21,781
2021-09-22,645
2021-09-23,717
2021-09-24,624
2021-09-25,688
2021-09-26,605
2021-09-27,569
2021-09-28,669
2021-09-29,766
2021-09-30,679
2021-10-01,541
2021-10-02,822
2021-10-03,565
2021-10-04,498
2021-10-05,728
2021-10-06,759
2021-10-07,648
2021-10-08,615
2021-10-09,683
2021-10-10,482
2021-10-11,772
2021-10-12,609
2021-10-13,709
2021-10-14,678
2021-10-15,641
2021-10-16,485
2021-10-17,646
2021-10-18,479
2021-10-19,588
2021-10-20,578
2021-10-21,659
2021-10-22,696
2021-10-23,571
2021-10-24,384
2021-10-25,549
2021-10-26,706
2021-10-27,536
2021-10-28,731
2021-10-29,771
2021-10-30,673
2021-10-31,816
2021-11-01,523
2021-11-02,598
2021-11-03,570
2021-11-04,549
2021-11-05,586
2021-11-06,610
2021-11-07,603
2021-11-08,602
2021-11-09,635
2021-11-10,607
2021-11-11,724
2021-11-12,645
2021-11-13,688
2021-11-14,601
2021-11-15,641
2021-11-16,741
2021-11-17,678
2021-11-18,612
2021-11-19,601
2021-11-20,806
2021-11-21,606
2021-11-22,616
2021-11-23,639
2021-11-24,707
2021-11-25,282
2021-11-26,573
2021-11-27,498
2021-11-28,525
2021-11-29,821
2021-11-30,740
2021-12-01,607
2021-12-02,538
2021-12-03,596
2021-12-04,479
2021-12-05,492
2021-12-06,623
2021-12-07,636
2021-12-08,532
2021-12-09,550
2021-12-10,596
2021-12-11,591
2021-12-12,629
2021-12-13,589
2021-12-14,88
2021-12-15,552
2021-12-16,601
2021-12-17,636
2021-12-18,527
2021-12-19,720
2021-12-20,541
2021-12-21,439
2021-12-22,392
2021-12-23,472
2021-12-24,802
2021-12-25,654
2021-12-26,476
2021-12-27,366
2021-12-28,382
2021-12-29,156
2021-12-30,386
2021-12-31,329
2022-01-01,410
2022-01-02,495
2022-01-03,66
2022-01-04,494
2022-01-05,357
2022-01-06,329
2022-01-07,497
2022-01-08,436
2022-01-09,341
2022-01-10,564
2022-01-11,450
2022-01-12,407
2022-01-13,390
2022-01-14,428
2022-01-15,617
2022-01-16,458
2022-01-17,454
2022-01-18,644
2022-01-19,687
2022-01-20,497
2022-01-21,429
2022-01-22,535
2022-01-23,433
2022-01-24,631
2022-01-25,599
2022-01-26,943
2022-01-27,9
2022-01-28,678
2022-01-29,484
2022-01-30,478
2022-01-31,676
2022-02-01,548
2022-02-02,490
2022-02-03,450
2022-02-04,528
2022-02-05,457
2022-02-06,417
2022-02-07,780
2022-02-08,516
2022-02-09,907
2022-02-10,527
2022-02-11,547
2022-02-12,633
2022-02-13,506
2022-02-14,606
2022-02-15,654
2022-02-16,639
2022-02-17,447
2022-02-18,511
2022-02-19,524
2022-02-20,615
2022-02-21,436
2022-02-22,548
2022-02-23,425
2022-02-24,700
2022-02-25,684
2022-02-26,515
2022-02-27,473
2022-02-28,617
2022-03-01,502
2022-03-02,626
2022-03-03,502
2022-03-04,193
2022-03-05,413
2022-03-06,20
2022-03-07,664
2022-03-08,612
2022-03-09,711
2022-03-10,655
2022-03-11,333
2022-03-12,236
2022-03-13,547
2022-03-14,45
2022-03-15,621
2022-03-16,602
2022-03-17,375
2022-03-18,826
2022-03-19,526
2022-03-20,761
2022-03-21,417
2022-03-22,599
2022-03-23,233
2022-03-24,458
2022-03-25,509
2022-03-26,581
2022-03-27,529
2022-03-28,635
2022-03-29,432
2022-03-30,316
2022-03-31,394
2022-04-01,574
2022-04-02,38
2022-04-03,166
2022-04-04,360
2022-04-05,438
2022-04-06,455
2022-04-07,557
2022-04-09,429
2022-04-10,497
2022-04-11,548
2022-04-12,531
2022-04-13,504
2022-04-14,534
2022-04-15,501
2022-04-16,372
2022-04-17,352
2022-04-18,411
2022-04-19,648
2022-04-20,528
2022-04-21,674
2022-04-22,500
2022-04-23,359
2022-04-24,128
2022-04-25,383
2022-04-26,259
2022-04-27,628
2022-04-28,424
2022-04-29,761
2022-04-30,505
2022-05-01,397
2022-05-02,496
2022-05-03,517
2022-05-04,618
2022-05-05,626
2022-05-06,774
2022-05-07,518
2022-05-08,599
2022-05-09,501
2022-05-10,499
2022-05-11,402
2022-05-12,312
2022-05-13,466
2022-05-14,818
2022-05-15,386
2022-05-16,559
2022-05-17,599
2022-05-18,541
2022-05-19,549
2022-05-20,404
